Insolvencies Filed by,Province,Proposals or Bankrupt,Date,# insolvencies
Businesses,Alberta,Bankruptcies,01-01-2014,7
Businesses,Alberta,Bankruptcies,01-02-2014,11
Businesses,Alberta,Bankruptcies,01-03-2014,6
Businesses,Alberta,Bankruptcies,01-04-2014,9
Businesses,Alberta,Bankruptcies,01-05-2014,13
Businesses,Alberta,Bankruptcies,01-06-2014,3
Businesses,Alberta,Bankruptcies,01-07-2014,7
Businesses,Alberta,Bankruptcies,01-08-2014,11
Businesses,Alberta,Bankruptcies,01-09-2014,5
Businesses,Alberta,Bankruptcies,01-10-2014,14
Businesses,Alberta,Bankruptcies,01-11-2014,10
Businesses,Alberta,Bankruptcies,01-12-2014,9
Businesses,Alberta,Proposals,01-01-2014,1
Businesses,Alberta,Proposals,01-02-2014,5
Businesses,Alberta,Proposals,01-03-2014,4
Businesses,Alberta,Proposals,01-04-2014,1
Businesses,Alberta,Proposals,01-05-2014,4
Businesses,Alberta,Proposals,01-06-2014,1
Businesses,Alberta,Proposals,01-07-2014,6
Businesses,Alberta,Proposals,01-08-2014,4
Businesses,Alberta,Proposals,01-09-2014,4
Businesses,Alberta,Proposals,01-10-2014,2
Businesses,Alberta,Proposals,01-11-2014,1
Businesses,Alberta,Proposals,01-12-2014,3
Businesses,British Columbia,Bankruptcies,01-01-2014,13
Businesses,British Columbia,Bankruptcies,01-02-2014,17
Businesses,British Columbia,Bankruptcies,01-03-2014,18
Businesses,British Columbia,Bankruptcies,01-04-2014,14
Businesses,British Columbia,Bankruptcies,01-05-2014,21
Businesses,British Columbia,Bankruptcies,01-06-2014,25
Businesses,British Columbia,Bankruptcies,01-07-2014,22
Businesses,British Columbia,Bankruptcies,01-08-2014,16
Businesses,British Columbia,Bankruptcies,01-09-2014,14
Businesses,British Columbia,Bankruptcies,01-10-2014,10
Businesses,British Columbia,Bankruptcies,01-11-2014,12
Businesses,British Columbia,Bankruptcies,01-12-2014,18
Businesses,British Columbia,Proposals,01-01-2014,2
Businesses,British Columbia,Proposals,01-02-2014,7
Businesses,British Columbia,Proposals,01-03-2014,13
Businesses,British Columbia,Proposals,01-04-2014,3
Businesses,British Columbia,Proposals,01-05-2014,5
Businesses,British Columbia,Proposals,01-06-2014,3
Businesses,British Columbia,Proposals,01-07-2014,5
Businesses,British Columbia,Proposals,01-08-2014,5
Businesses,British Columbia,Proposals,01-09-2014,3
Businesses,British Columbia,Proposals,01-10-2014,0
Businesses,British Columbia,Proposals,01-11-2014,3
Businesses,British Columbia,Proposals,01-12-2014,7
Businesses,Canada,Bankruptcies,01-01-2014,247
Businesses,Canada,Bankruptcies,01-02-2014,247
Businesses,Canada,Bankruptcies,01-03-2014,281
Businesses,Canada,Bankruptcies,01-04-2014,297
Businesses,Canada,Bankruptcies,01-05-2014,274
Businesses,Canada,Bankruptcies,01-06-2014,234
Businesses,Canada,Bankruptcies,01-07-2014,245
Businesses,Canada,Bankruptcies,01-08-2014,227
Businesses,Canada,Bankruptcies,01-09-2014,250
Businesses,Canada,Bankruptcies,01-10-2014,310
Businesses,Canada,Bankruptcies,01-11-2014,263
Businesses,Canada,Bankruptcies,01-12-2014,241
Businesses,Canada,Proposals,01-01-2014,76
Businesses,Canada,Proposals,01-02-2014,109
Businesses,Canada,Proposals,01-03-2014,100
Businesses,Canada,Proposals,01-04-2014,97
Businesses,Canada,Proposals,01-05-2014,97
Businesses,Canada,Proposals,01-06-2014,85
Businesses,Canada,Proposals,01-07-2014,74
Businesses,Canada,Proposals,01-08-2014,82
Businesses,Canada,Proposals,01-09-2014,65
Businesses,Canada,Proposals,01-10-2014,94
Businesses,Canada,Proposals,01-11-2014,92
Businesses,Canada,Proposals,01-12-2014,132
Businesses,Manitoba,Bankruptcies,01-01-2014,4
Businesses,Manitoba,Bankruptcies,01-02-2014,5
Businesses,Manitoba,Bankruptcies,01-03-2014,6
Businesses,Manitoba,Bankruptcies,01-04-2014,9
Businesses,Manitoba,Bankruptcies,01-05-2014,3
Businesses,Manitoba,Bankruptcies,01-06-2014,5
Businesses,Manitoba,Bankruptcies,01-07-2014,2
Businesses,Manitoba,Bankruptcies,01-08-2014,1
Businesses,Manitoba,Bankruptcies,01-09-2014,2
Businesses,Manitoba,Bankruptcies,01-10-2014,2
Businesses,Manitoba,Bankruptcies,01-11-2014,6
Businesses,Manitoba,Bankruptcies,01-12-2014,3
Businesses,Manitoba,Proposals,01-01-2014,0
Businesses,Manitoba,Proposals,01-02-2014,0
Businesses,Manitoba,Proposals,01-03-2014,1
Businesses,Manitoba,Proposals,01-04-2014,0
Businesses,Manitoba,Proposals,01-05-2014,2
Businesses,Manitoba,Proposals,01-06-2014,0
Businesses,Manitoba,Proposals,01-07-2014,1
Businesses,Manitoba,Proposals,01-08-2014,3
Businesses,Manitoba,Proposals,01-09-2014,0
Businesses,Manitoba,Proposals,01-10-2014,1
Businesses,Manitoba,Proposals,01-11-2014,0
Businesses,Manitoba,Proposals,01-12-2014,1
Businesses,New Brunswick,Bankruptcies,01-01-2014,5
Businesses,New Brunswick,Bankruptcies,01-02-2014,3
Businesses,New Brunswick,Bankruptcies,01-03-2014,12
Businesses,New Brunswick,Bankruptcies,01-04-2014,4
Businesses,New Brunswick,Bankruptcies,01-05-2014,5
Businesses,New Brunswick,Bankruptcies,01-06-2014,7
Businesses,New Brunswick,Bankruptcies,01-07-2014,4
Businesses,New Brunswick,Bankruptcies,01-08-2014,1
Businesses,New Brunswick,Bankruptcies,01-09-2014,7
Businesses,New Brunswick,Bankruptcies,01-10-2014,9
Businesses,New Brunswick,Bankruptcies,01-11-2014,4
Businesses,New Brunswick,Bankruptcies,01-12-2014,7
Businesses,New Brunswick,Proposals,01-01-2014,0
Businesses,New Brunswick,Proposals,01-02-2014,3
Businesses,New Brunswick,Proposals,01-03-2014,3
Businesses,New Brunswick,Proposals,01-04-2014,3
Businesses,New Brunswick,Proposals,01-05-2014,1
Businesses,New Brunswick,Proposals,01-06-2014,1
Businesses,New Brunswick,Proposals,01-07-2014,2
Businesses,New Brunswick,Proposals,01-08-2014,0
Businesses,New Brunswick,Proposals,01-09-2014,0
Businesses,New Brunswick,Proposals,01-10-2014,1
Businesses,New Brunswick,Proposals,01-11-2014,4
Businesses,New Brunswick,Proposals,01-12-2014,1
Businesses,Newfoundland and Labrador,Bankruptcies,01-01-2014,3
Businesses,Newfoundland and Labrador,Bankruptcies,01-02-2014,1
Businesses,Newfoundland and Labrador,Bankruptcies,01-03-2014,3
Businesses,Newfoundland and Labrador,Bankruptcies,01-04-2014,1
Businesses,Newfoundland and Labrador,Bankruptcies,01-05-2014,2
Businesses,Newfoundland and Labrador,Bankruptcies,01-06-2014,2
